doi,prefix,registry,resolved,status,http_code,csl_title,csl_year,csl_container,csl_type,csl_publisher,csv_title,csv_year,csv_venue,source_file,final_url,title_match_note
10.1080/10447318.2023.2221600,10.1080,Crossref,True,ok,200,"Eye Tracking, Usability, and User Experience: A Systematic Review",2023,International Journal of Human–Computer Interaction,journal-article,Informa UK Limited,"Eye tracking, usability, and user experience: A systematic review",2023,International Journal of Human-computer Interaction,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1080%2F10447318.2023.2221600/transform,
10.1007/979-8-8688-1591-1,10.1007,Crossref,True,ok,200,UX for XR,2025,Design Thinking,book,Apress,UX for XR: User experience design and strategies for immersive technologies,,,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1007%2F979-8-8688-1591-1/transform,
10.35315/dinamik.v28i2.9368,10.35315,Crossref,True,ok,200,ANALISIS USER EXPERIENCE APLIKASI OJEK ONLINE MAXIM DENGAN MODEL HCI,2023,Dinamik,journal-article,Universitas Stikubank,Analisis user experience aplikasi ojek online maxim dengan model hci,2023,Dinamik,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.35315%2Fdinamik.v28i2.9368/transform,
10.1038/s41586-025-09543-5,10.1038,Crossref,True,ok,200,Low-overhead transversal fault tolerance for universal quantum computation,2025,Nature,journal-article,Springer Science and Business Media LLC,Low-Overhead Transversal Fault Tolerance for Universal Quantum Computation,2024,,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1038%2Fs41586-025-09543-5/transform,
10.37936/ecti-cit.2016101.56396,10.37936,Crossref,True,ok,200,Enhancing Process Visibility of the Supply Chain ‘Data Pipeline’,1970,ECTI Transactions on Computer and Information Technology (ECTI-CIT),journal-article,ECTI,Enhancing Process Visibility of the Supply Chain ‘Data Pipeline’,1970,Computer and Information Technology,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.37936%2Fecti-cit.2016101.56396/transform,
10.1109/qomex.2013.6603220,10.1109,Crossref,True,ok,200,How much longer to go? The influence of waiting time and progress indicators on quality of experience for mobile visual search applied to print media,2013,2013 Fifth International Workshop on Quality of Multimedia Experience (QoMEX),proceedings-article,IEEE,How much longer to go? The influence of waiting time and progress indicators on quality of experience for mobile visual search applied to print media,2013,Quality of Multimedia Experience,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1109%2Fqomex.2013.6603220/transform,
10.1080/0144929x.2022.2155576,10.1080,Crossref,True,ok,200,Time swipes when you’re having fun: reducing perceived waiting time while making it more enjoyable,2022,Behaviour &amp; Information Technology,journal-article,Informa UK Limited,Time swipes when you're having fun: reducing perceived waiting time while making it more enjoyable,2022,Behaviour & Information Technology,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1080%2F0144929x.2022.2155576/transform,
10.1007/978-3-032-12086-1_5,10.1007,Crossref,True,ok,200,Formal Verification of Epistemic States with Uncertainty in Multi-Agent Systems,2025,Lecture Notes in Computer Science,book-chapter,Springer Nature Switzerland,Formal Verification of Epistemic States with Uncertainty in Multi-Agent Systems,,,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.1007%2F978-3-032-12086-1_5/transform,
10.5281/zenodo.18104244,10.5281,DataCite,True,ok,200,Trust-Aware Data Pipelines for Verifiable AI Accelerators: A Data-Centric Frame Work,2025,IJERT.ORG,article-journal,IJERT.ORG,Trust-Aware Data Pipelines for Verifiable AI Accelerators: A Data-Centric Frame Work,2025,,combined_pipeline_integrity_results.csv,https://data.crosscite.org/10.5281%2Fzenodo.18104244,
10.5281/zenodo.17291650,10.5281,DataCite,True,ok,200,Enhancing checkpointing and state recovery for large-scale stream processing,2025,Zenodo,article-journal,Zenodo,Enhancing checkpointing and state recovery for large-scale stream processing,2025,,combined_pipeline_integrity_results.csv,https://data.crosscite.org/10.5281%2Fzenodo.17291650,
